,body,Stemmed_text,Lemmatized_text
62,This is able to recognize Indian accent really well and the drop in function is helpful for calling the device to talk to the person near the device.  The smart plug can be scheduled and works seamlessly. Cons would be the sound is kindLoud but lacks clarity. The mid frequency needs to be tweeked for optimum clarity and rarely the device doesn't respond when we call Alexa,abl recogn indian accent realli well drop function help call devic talk person near devic smart plug schedul work seamlessli con would sound kindloud lack clariti mid frequenc need tweek optimum clariti rare devic respond call alexa,able recognize indian accent really well drop function helpful calling device talk person near device smart plug scheduled work seamlessly con would sound kindloud lack clarity mid frequency need tweeked optimum clarity rarely device respond call alexa
63,"I love my echo dot device. There some things, which are really good like whisper command. I am using google mini for last 1 year, it is also really good but some diff are really noteworthy. I am living in hostel so I don’t want to disturb my neighbour student in night when I command my echo ,which is far from my bed to switch off my light. In google I have to shout (not loud but still enough) in echo I can just whisper, and it responds every single time.  The second thing is during switching off or switching on the light ,  google repeat the full name of my light for example it shouts ” switching on Nikhil Syska bulb” during night if you have forgotten to lower the volume suddenly you will call google “ switch of the light “ it will shout back “ switching off Nikhil Syska bulb “ but echo dot just say “ok” which way more convenient.Though when it comes to connecting to laptop automatically the scenario is totally opposite , google connects silently just making a ping sound and echo repeats my lappy name.The other thing is buttons in place of touch . I like buttons in place of touch , which make its tough to pick the google , most of the time either it play/ pause the songs or increase / decrease the volume . If I have voice assistance, why would I need touch 🙄.Alexa integration- because I use amazon shoping and I have kindle , the integration is very much useful for me . My echo reads my book for me . It remind me if my order is coming today.Portability - it’s shape makes it less beautiful but good in portability. It fits in my bag so conveniently  just ignore the dangling cable.",love echo dot devic thing realli good like whisper command use googl mini last year also realli good diff realli noteworthi live hostel want disturb neighbour student night command echo far bed switch light googl shout loud still enough echo whisper respond everi singl time second thing switch switch light googl repeat full name light exampl shout switch nikhil syska bulb night forgotten lower volum suddenli call googl switch light shout back switch nikhil syska bulb echo dot say ok way conveni though come connect laptop automat scenario total opposit googl connect silent make ping sound echo repeat lappi name thing button place touch like button place touch make tough pick googl time either play paus song increas decreas volum voic assist would need touch alexa integr use amazon shope kindl integr much use echo read book remind order come today portabl shape make less beauti good portabl fit bag conveni ignor dangl cabl,love echo dot device thing really good like whisper command using google mini last year also really good diff really noteworthy living hostel want disturb neighbour student night command echo far bed switch light google shout loud still enough echo whisper responds every single time second thing switching switching light google repeat full name light example shout switching nikhil syska bulb night forgotten lower volume suddenly call google switch light shout back switching nikhil syska bulb echo dot say ok way convenient though come connecting laptop automatically scenario totally opposite google connects silently making ping sound echo repeat lappy name thing button place touch like button place touch make tough pick google time either play pause song increase decrease volume voice assistance would need touch alexa integration use amazon shoping kindle integration much useful echo read book remind order coming today portability shape make le beautiful good portability fit bag conveniently ignore dangling cable
64,"I just don't want to integrate it with anything in my house as it doesn't sound clear via built in speaker and 3.5mm output jack, I brought it for listening music, podcast and GK but due to poor audio clarity it is still not in plugged in state in my home, it is just sitting on table without it's adapter plugged in.",want integr anyth hous sound clear via built speaker mm output jack brought listen music podcast gk due poor audio clariti still plug state home sit tabl without adapt plug,want integrate anything house sound clear via built speaker mm output jack brought listening music podcast gk due poor audio clarity still plugged state home sitting table without adapter plugged
65,"I ordered this product because it shows in web description as ""Echo Dot (3rd Gen)"".But when I connected to it with my alexa app, it shows Echo Dot ""2nd Gen"" instead of ""3rd Gen"".I am feeling like cheated.",order product show web descript echo dot rd gen connect alexa app show echo dot nd gen instead rd gen feel like cheat,ordered product show web description echo dot rd gen connected alexa app show echo dot nd gen instead rd gen feeling like cheated
66,"Database need to update, sometimes gives wrong answers, sometimes unable to understand the question and start giving different subjects description. I would like to suggest Amazon to update the Database urgently. one more thing the microfone is getting weaker than when i purchased.",databas need updat sometim give wrong answer sometim unabl understand question start give differ subject descript would like suggest amazon updat databas urgent one thing microfon get weaker purchas,database need update sometimes give wrong answer sometimes unable understand question start giving different subject description would like suggest amazon update database urgently one thing microfone getting weaker purchased
67,"Wnna buy only smart speaker--googleWnna get an amazon atmosphere(prime,amazon music,fire tv etc,)--alexaFor a smart speaker its not that smart, nothing works without activating a skill and skills set (trust me not that great, sukhaa pada h yaar) if you only want a smart speaker 🔊 and you are heavily invested in amazon prime and fire tv stick like gadgets and you have other smart compatible devices and you need the help of amazon services very often only then go for it. Until used with amazon family its good but, if you want only a smart speaker then go for google home mini nest version you will be very happy. Alexa is just a very weak ai in front of google",wnna buy smart speaker googlewnna get amazon atmospher prime amazon music fire tv etc alexafor smart speaker smart noth work without activ skill skill set trust great sukhaa pada h yaar want smart speaker heavili invest amazon prime fire tv stick like gadget smart compat devic need help amazon servic often go use amazon famili good want smart speaker go googl home mini nest version happi alexa weak ai front googl,wnna buy smart speaker googlewnna get amazon atmosphere prime amazon music fire tv etc alexafor smart speaker smart nothing work without activating skill skill set trust great sukhaa pada h yaar want smart speaker heavily invested amazon prime fire tv stick like gadget smart compatible device need help amazon service often go used amazon family good want smart speaker go google home mini nest version happy alexa weak ai front google
68,"My son has been asking for a long time. However we weren't buying. This time, we decided to buy. It's an awesome product. we are astonished by its voice recognition capabilty. It's picks up right songs with minimal inputs.We have integrated it with fire stick also.No regrets...I recommend a buy ...Happy Alexaing :)",son ask long time howev buy time decid buy awesom product astonish voic recognit capabilti pick right song minim input integr fire stick also regret recommend buy happi alexa,son asking long time however buying time decided buy awesome product astonished voice recognition capabilty pick right song minimal input integrated fire stick also regret recommend buy happy alexaing
69,"I truly don’t see the point behind Alexa or any smart speaker for that matter.I finally bought it coz it was on offer during sale and I just wanted to see what the fuss was about and I was right, there’s nothing great about a smart speaker.There’s nothing much you can do with it and the charm & novelty wears off quite soon. More of a gimmick than an actually useful gadget.Don’t get me wrong, the product is good but I really don’t see its utility. Buy with your own wisdom & utility.",truli see point behind alexa smart speaker matter final bought coz offer sale want see fuss right noth great smart speaker noth much charm novelti wear quit soon gimmick actual use gadget get wrong product good realli see util buy wisdom util,truly see point behind alexa smart speaker matter finally bought coz offer sale wanted see fuss right nothing great smart speaker nothing much charm novelty wear quite soon gimmick actually useful gadget get wrong product good really see utility buy wisdom utility
70,"The media could not be loaded.
                



 I have been using it since years.Perfect home smart speaker. Sounds crisp and listens carefullyPair a couple of them and get the awesome stereo effect as well .Can be a smart speaker in kitchen , working desk stereo , bed side night audio device. You name it it delivers.Loved this product through out the usage",use sinc year perfect home smart speaker sound crisp listen carefullypair coupl get awesom stereo effect well smart speaker kitchen work desk stereo bed side night audio devic name deliv love product usag,using since year perfect home smart speaker sound crisp listens carefullypair couple get awesome stereo effect well smart speaker kitchen working desk stereo bed side night audio device name delivers loved product usage
71,"Horrible music sound. Only good for speeches or weather reports, not for music. Bluetooth connectivity is a pain if you have multiple devices. Stationary use only (no battery). If you go and plug in another room, for example from living room to bedroom you have to start connectivity again from scratch. Alexa software is ages behind Google voice. I am returning this product. Good for a novelty, although you can get better items to show off for that price. Could not even recognize Gurgaon. Don’t be fooled by 3rd generation... just some more fancy lights. If the price drops after you buy it and take it somewhere else. You are basically left with price difference hanging around your neck! Rip off. Great for kids though!",horribl music sound good speech weather report music bluetooth connect pain multipl devic stationari use batteri go plug anoth room exampl live room bedroom start connect scratch alexa softwar age behind googl voic return product good novelti although get better item show price could even recogn gurgaon fool rd gener fanci light price drop buy take somewher els basic left price differ hang around neck rip great kid though,horrible music sound good speech weather report music bluetooth connectivity pain multiple device stationary use battery go plug another room example living room bedroom start connectivity scratch alexa software age behind google voice returning product good novelty although get better item show price could even recognize gurgaon fooled rd generation fancy light price drop buy take somewhere else basically left price difference hanging around neck rip great kid though
